locus_tag	gene_id	gene_name	biotype	yebC-log_c_1	yebC-log_c_2	yebC-log_c_3	yebC-log_d_1	yebC-log_d_2	yebC-log_d_3	yebC-log_w_1	yebC-log_w_2	yebC-log_w_3	yebC-stat_c_1	yebC-stat_c_2	yebC-stat_c_3	yebC-stat_d_1	yebC-stat_d_2	yebC-stat_d_3	yebC-stat_w_1	yebC-stat_w_2	yebC-stat_w_3
"SPY_RS00005"	"dnaA"	"gene-SPY_RS00005"	"mRNA"	14.314466341841158	17.915124959482704	10.646006570313727	11.858499329888794	8.457616954344008	10.172881477620187	14.13028683377061	14.161219083479969	12.405448992946468	6.798445989231816	4.6074809698672565	4.8231021112142205	8.149691678450985	9.093294395786415	9.973017224063275	6.049459447090927	6.030372822635525	5.127389488966742
"SPY_RS00010"	"dnaN"	"gene-SPY_RS00010"	"mRNA"	19.403337888633033	22.079475481762575	14.784130652701746	16.12334516399239	14.782169201432843	16.86781331533019	21.741637012689715	17.806260321104713	22.313603136930055	8.84702799543323	6.827868165226103	7.456413114375937	10.423089714089034	14.068272747442013	18.599858814987257	7.618679650685658	9.094906054329105	8.490741996579988
"SPY_RS00015"	"SPY_RS00015"	"gene-SPY_RS00015"	"mRNA"	55.95020236673524	49.69132275090527	31.443240838237717	45.26985390564626	33.95419471116999	49.21765355360054	52.64746531093995	48.371715196335764	30.640781119190184	12.733001051655167	5.779741354639963	4.62161324636115	20.330089223372934	22.212841897910224	19.124016058749213	9.280237425743366	6.8121924794283215	8.422818564697003
"SPY_RS00020"	"ychF"	"gene-SPY_RS00020"	"mRNA"	133.54312155743784	154.87431886314738	122.4511371031048	132.05970025709354	87.81057300161969	119.9376727634066	167.10920114479381	131.9175928242453	101.8064662992448	30.486181729410937	18.956745402053652	17.94273377999035	51.37105194160845	42.389080107984014	42.72373172835119	20.257753297727238	19.237118816235085	19.279491108107
"SPY_RS00025"	"pth"	"gene-SPY_RS00025"	"mRNA"	6.9767863679977555	7.029043863896367	5.188134738309224	4.267171629720266	4.301565472387232	4.29368138427229	9.405291547277695	7.48639886050637	6.57970457717347	2.457245816986085	1.3022916508890046	1.1332252913678116	4.386354654274644	4.501023226681808	4.519101539124412	1.2664384156183615	1.9226516932070725	1.4835149673624966
"SPY_RS00030"	"mfd"	"gene-SPY_RS00030"	"mRNA"	5.458436497141101	6.556591440150428	4.697305210412675	4.460531226970084	3.295554192554734	4.546329510557303	7.352357618888362	7.225742279175954	5.1942420047942255	2.0276868113081004	1.5270521748259696	1.6898122566771734	2.8755408893648076	3.9672581190586356	4.7562769880527735	1.4139989937768833	1.7322099027313456	1.441247774371147
"SPY_RS00035"	"SPY_RS00035"	"gene-SPY_RS00035"	"mRNA"	23.41111595226876	23.96464947894004	19.099177333336154	19.303871658258345	17.67286204359022	20.211615067623406	23.455809505878744	19.278162633465122	16.970278773705328	7.5558467779052645	4.871667943115003	6.112359859117592	11.35632040161655	11.027961146332979	11.133874341447177	5.048041237080182	4.631916589721181	5.076374476231254
"SPY_RS00040"	"SPY_RS00040"	"gene-SPY_RS00040"	"mRNA"	17.05347359151525	17.586960504705996	11.924341938855875	13.80330607821699	8.71727238030607	11.96186895911635	14.811648650842784	14.657510313805034	11.416161997633761	3.2859357552658497	1.9954468844267004	2.3875411884664577	9.67827930168986	8.093100518679847	10.10966747542832	3.2635857997789888	3.0970754115142873	3.8516887257462673
"SPY_RS00045"	"SPY_RS00045"	"gene-SPY_RS00045"	"mRNA"	13.867998877224977	17.851046158731233	10.460924355798317	11.44433106080118	12.168200095586709	13.83003963571494	13.22936307813363	13.336299239203006	10.927831028522371	4.808266131394259	3.196281081775946	3.1995784013269506	8.139806387571198	8.42135214810882	9.426909014830853	3.9772446110328707	3.0130851351317576	2.993157626457873
"SPY_RS00050"	"tilS"	"gene-SPY_RS00050"	"mRNA"	24.278194320871307	24.668333102352655	17.686822971508718	15.889071258727022	14.657150115138537	15.627944788357881	22.910325563881564	21.809638534829226	16.1560482264821	9.042706263568627	5.190952734312815	5.207157006081116	10.432162363068576	9.458765093890344	11.728595929279999	6.322799125231743	5.917000518990625	5.365782574259846
"SPY_RS00055"	"hpt"	"gene-SPY_RS00055"	"mRNA"	108.37329890357995	133.46777393429628	63.275179197887354	87.84505868794913	51.927737884895585	77.76933102944615	138.8613256322803	122.68226984727903	70.69386848272829	29.077203138218064	18.28424672829659	20.321880800541557	40.9336555057199	47.923285973115696	41.555760230489895	18.974313379154054	17.905528022585766	17.9087304071108
"SPY_RS00060"	"ftsH"	"gene-SPY_RS00060"	"mRNA"	676.8778969230376	705.2069577205793	537.4042899765304	838.0382653417599	587.9068948960521	827.6656370191785	686.2221049957374	687.8841043217531	423.4834503227712	157.0146230692993	82.44722937781007	81.57147379827431	383.5694349373765	338.468178419407	229.77440246913508	106.52386816549706	90.24735828475978	96.16248913441396
